ID,Country_Name,Region,World_Rank,Region_Name,Score2019,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment Freedom ,Financial_Freedom
0,Venezuela,Americas,179,32,25.9,33.9,28,0,60,0,10
1,Cuba,Americas,178,31,27.8,20,20,65.6,64,10,10
2,Bolivia,Americas,173,30,42.3,58.8,52.9,68.8,70.4,15,40
3,Ecuador,Americas,170,29,46.9,54.1,48.2,73.5,66.4,35,40
4,Suriname,Americas,165,28,48.1,48.3,73.5,56,64.6,40,30
5,Brazil,Americas,150,27,51.9,57.9,51.9,75.5,69,50,50
6,Argentina,Americas,148,26,52.2,56.4,46.9,60.2,70,55,60
7,Haiti,Americas,143,25,52.7,36.2,62.6,66.5,72,45,30
8,Belize,Americas,123,24,55.4,61.8,54.8,78.7,64,55,50
9,Guyana,Americas,113,23,56.8,59.3,62,76.9,66.8,55,30
10,Trinidad and Tobago,Americas,112,22,57,67.8,75.6,75.1,68.4,60,50
11,Nicaragua,Americas,107,21,57.7,56,55.8,72.7,76,60,50
12,Honduras,Americas,93,20,60.2,56.9,32,73,79.4,65,60
13,Dominican Republic,Americas,89,19,61,51.9,57.6,79.7,75.8,70,40
14,El Salvador,Americas,84,17,61.8,57.2,53.1,79,81.4,75,60
15,Paraguay,Americas,85,18,61.8,61.5,29.2,72.8,76.6,75,60
16,Guatemala,Americas,77,16,62.6,53.6,48.7,77,82.2,70,50
17,Bahamas,Americas,76,15,62.9,68.5,67.5,78.1,47.8,50,60
18,Dominica,Americas,72,14,63.6,70.7,60.4,85.7,68.2,70,30
19,Mexico,Americas,66,12,64.7,67.8,58.6,75.9,81.4,75,60
20,Barbados,Americas,67,13,64.7,69.8,59.9,78.3,56.6,70,60
21,Costa Rica,Americas,61,11,65.3,67.2,55.2,83.2,81.4,70,50
22,Saint Vincent and the Grenadines,Americas,55,10,65.8,76.5,73.5,82.2,66.6,70,40
23,Panama,Americas,50,9,67.2,73.6,43.4,79.4,79.2,75,70
24,Colombia,Americas,49,8,67.3,71.4,78.5,75.6,76,80,70
25,Peru,Americas,45,7,67.8,67.8,63.5,83.9,86.4,75,60
26,Uruguay,Americas,40,6,68.6,74.3,71.9,72.9,78.6,85,30
27,Jamaica,Americas,39,5,68.6,78,73.6,82.6,68.4,80,50
28,Saint Lucia,Americas,38,4,68.7,76.3,69.2,83.9,73.2,65,40
29,Chile,Americas,18,3,75.4,76.6,65,84.5,88.8,85,70
30,United States,Americas,12,2,76.8,83.8,89.4,76.6,86.6,85,80
31,Canada,Americas,8,1,77.7,81.9,73.7,77.2,86.8,80,80
32,Timor-Leste,Asia-Pacific,172,42,44.2,60.5,58.8,79.5,75,45,20
33,Kiribati,Asia-Pacific,168,41,47.3,41.9,50.7,81.1,53.2,25,30
34,Turkmenistan,Asia-Pacific,164,40,48.4,30,20,73.4,76,10,10
35,Afghanistan,Asia-Pacific,152,39,51.5,49.2,60.4,76.7,66,10,10
36,Micronesia,Asia-Pacific,149,38,51.9,57.4,71.9,85.8,80.6,35,30
37,Maldives,Asia-Pacific,141,37,53.2,78.3,70.8,81,62.6,35,30
38,Uzbekistan,Asia-Pacific,140,36,53.3,72.5,58.7,58.9,62.6,10,10
39,Burma,Asia-Pacific,139,35,53.6,52.8,65.7,69.6,70.8,30,20
40,Nepal,Asia-Pacific,136,34,53.8,61.8,47.9,69.4,60.4,10,30
41,Solomon Islands,Asia-Pacific,133,33,54.6,68.6,72,86,56.8,15,30
42,Pakistan,Asia-Pacific,131,32,55,56.1,41.8,72.6,64.8,55,40
43,India,Asia-Pacific,129,31,55.2,57.1,41.8,72.4,72.4,40,40
44,Vietnam,Asia-Pacific,128,30,55.3,63.5,62.8,68.9,79.2,30,40
45,Mongolia,Asia-Pacific,126,29,55.4,66,75,77.8,75.8,50,60
46,Bangladesh,Asia-Pacific,121,27,55.6,50.9,68.2,69.9,63.6,45,30
47,Tajikistan,Asia-Pacific,122,28,55.6,67.3,49.2,68.5,73.6,25,30
48,Vanuatu,Asia-Pacific,116,26,56.4,52.4,58.8,75,64.4,65,40
49,Sri Lanka,Asia-Pacific,115,25,56.4,75.1,58.8,70.1,76.2,40,40
50,Laos,Asia-Pacific,110,24,57.4,60.1,60.1,78.5,81.8,35,20
51,Tonga,Asia-Pacific,108,23,57.7,75.3,69.9,69.4,73.6,40,20
52,Cambodia,Asia-Pacific,105,22,57.8,29.9,63,79.4,65.4,60,50
53,Papua New Guinea,Asia-Pacific,101,21,58.4,62.2,72.6,70,80.9,25,30
54,China,Asia-Pacific,100,20,58.4,56.2,64.2,71.9,73,25,20
55,Fiji,Asia-Pacific,81,18,62.2,63,72.9,73.5,62.8,55,50
56,Samoa,Asia-Pacific,82,19,62.2,77,78.2,83.5,63.8,55,30
57,Kyrgyz Republic,Asia-Pacific,79,17,62.3,73.4,79.8,74.4,78.6,60,50
58,Bhutan,Asia-Pacific,74,16,62.9,68.7,79.5,72.6,79.4,20,30
59,Philippines,Asia-Pacific,70,15,63.8,61.3,57.9,69.6,78.2,60,60
60,Brunei Darussalam,Asia-Pacific,63,14,65.1,80.2,90.8,76.5,84,65,50
61,Azerbaijan,Asia-Pacific,60,13,65.4,69.5,63.9,63,74.6,60,60
62,Kazakhstan,Asia-Pacific,59,12,65.4,73.9,86.2,70.9,80,50,50
63,Indonesia,Asia-Pacific,56,11,65.8,69.3,49.3,77.4,79.8,45,60
64,Thailand,Asia-Pacific,43,10,68.3,82.5,63.9,75.2,83,55,60
65,Macau,Asia-Pacific,34,9,71,60,50,76.5,90,85,70
66,Japan,Asia-Pacific,30,8,72.1,80.5,79,85.9,80,70,60
67,"Korea, South",Asia-Pacific,29,7,72.3,91.3,57.4,82,80.4,70,70
68,Malaysia,Asia-Pacific,22,6,74,83.9,74.4,78.6,82,60,50
69,Taiwan ,Asia-Pacific,10,5,77.3,93.2,60.9,84.4,87,60,60
70,Australia,Asia-Pacific,5,4,80.9,88.3,84.1,86.6,87.6,80,90
71,New Zealand,Asia-Pacific,3,3,84.4,91,86.7,87.5,92.4,80,80
72,Singapore,Asia-Pacific,2,2,89.4,90.8,91,85.3,94.8,85,80
73,Hong Kong,Asia-Pacific,1,1,90.2,96.4,89.2,86.4,95,90,90
74,Ukraine,Europe,147,44,52.3,66.1,46.7,58.6,75,35,30
75,Greece,Europe,106,43,57.7,74.1,52.5,79.1,81,55,50
76,Belarus,Europe,104,42,57.9,75,75.3,67,76.4,30,10
77,Russia,Europe,98,41,58.9,78.4,52.5,65.1,77.8,30,30
78,Moldova,Europe,97,40,59.1,67,39,73.5,78,55,50
79,Montenegro,Europe,92,39,60.5,73.3,73.4,81.6,84.7,75,50
80,Croatia,Europe,86,38,61.4,60.7,44,78.5,86,75,60
81,Bosnia and Herzegovina,Europe,83,37,61.9,49.7,67,83.1,82.6,65,60
82,Italy,Europe,80,36,62.2,71.7,51.1,84,86,85,50
83,France,Europe,71,35,63.8,81.2,45.2,79.1,81,75,70
84,Serbia,Europe,69,34,63.9,72.9,67.4,80,77,70,50
85,Turkey,Europe,68,33,64.6,66,49.2,70,79.6,70,60
86,Hungary,Europe,64,31,65,61.1,64.7,81.8,86,80,70
87,Slovakia,Europe,65,32,65,61.3,53.4,78.6,86,75,70
88,Portugal,Europe,62,30,65.3,79.7,44.3,83,86,70,60
89,Slovenia,Europe,58,29,65.5,79.3,61.2,83.6,86,70,50
90,Spain,Europe,57,28,65.7,66.8,57.8,87.5,86,85,70
91,Albania,Europe,52,27,66.5,69.3,52.7,81.5,87.8,70,70
92,Kosovo,Europe,51,26,67,73.8,64.9,78.3,70.8,65,30
93,Belgium,Europe,48,25,67.3,78.1,61,76.1,86,85,70
94,Armenia,Europe,47,24,67.7,78.3,71.4,77.8,80.8,75,70
95,Poland,Europe,46,23,67.8,65.4,63.9,82.1,86,80,70
96,Cyprus,Europe,44,22,68.1,76.9,59.5,84,86,75,60
97,Romania,Europe,42,21,68.6,63.1,64.5,82.7,86,70,50
98,Malta,Europe,41,20,68.6,67.1,61.3,78.2,86,85,60
99,Bulgaria,Europe,37,19,69,62.7,68.4,88,86,70,60
100,Latvia,Europe,35,18,70.4,77.5,73.3,81.1,86,85,60
