Country Name,Region,Investment Freedom ,Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,GDP per Capita (PPP),avg_result,avg_corptax,avg_taxburden
Afghanistan,Asia-Pacific,10.0,20.0,20.0,5.0,25.6,"$1,958",24.307142857142857,22.745238095238093,17.111904761904764
Albania,Europe,70.0,23.0,15.0,24.9,29.5,"$12,507",31.018181818181812,19.336363636363636,33.78181818181818
Algeria,Middle East and North Africa,30.0,35.0,23.0,24.5,41.4,"$15,237",18.035714285714285,15.607142857142858,13.37142857142857
Angola,Sub-Saharan Africa,30.0,17.0,30.0,20.6,25.3,"$6,753",32.51063829787234,30.0,17.97021276595745
Argentina,Americas,55.0,35.0,30.0,30.8,41.0,"$20,876",29.290625,26.9375,22.790625
Armenia,Europe,75.0,26.0,20.0,21.3,26.4,"$9,456",31.018181818181812,19.336363636363636,33.78181818181818
Australia,Asia-Pacific,80.0,45.0,30.0,28.2,36.5,"$50,334",24.307142857142857,22.745238095238093,17.111904761904764
Austria,Europe,90.0,50.0,25.0,42.7,50.2,"$49,869",31.018181818181812,19.336363636363636,33.78181818181818
Azerbaijan,Asia-Pacific,60.0,25.0,20.0,15.0,36.7,"$17,492",24.307142857142857,22.745238095238093,17.111904761904764
Bahamas,Americas,50.0,0.0,0.0,16.3,21.0,"$31,139",29.290625,26.9375,22.790625
Bahrain,Middle East and North Africa,75.0,0.0,0.0,5.6,35.3,"$48,505",18.035714285714285,15.607142857142858,13.37142857142857
Bangladesh,Asia-Pacific,45.0,25.0,45.0,8.8,13.6,"$4,211",24.307142857142857,22.745238095238093,17.111904761904764
Barbados,Americas,70.0,35.0,25.0,33.7,34.1,"$18,664",29.290625,26.9375,22.790625
Belarus,Europe,30.0,13.0,18.0,23.8,44.2,"$18,931",31.018181818181812,19.336363636363636,33.78181818181818
Belgium,Europe,85.0,50.0,29.0,44.2,53.2,"$46,553",31.018181818181812,19.336363636363636,33.78181818181818
Belize,Americas,55.0,25.0,25.0,27.6,33.7,"$8,324",29.290625,26.9375,22.790625
Benin,Sub-Saharan Africa,70.0,45.0,30.0,11.9,23.5,"$2,277",32.51063829787234,30.0,17.97021276595745
Bhutan,Asia-Pacific,20.0,25.0,30.0,13.4,30.7,"$8,744",24.307142857142857,22.745238095238093,17.111904761904764
Bolivia,Americas,15.0,13.0,25.0,31.1,41.1,"$7,547",29.290625,26.9375,22.790625
